Persian,English
عنوان,as
من,I
خود,his
که,that
او,he
بود,was
برای,for
در,on
هستیم,are
آنها,they
بودن,be
در,at
یک,one
دارند,have
این,this
از,from
توسط,by
داغ,hot
کلمه,word
اما,but
چه,what
برخی از,some
است,is
آن,it
شما,you
و یا,or
حال,had
تر,the
از,of
به,to
و,and
در,in
ما,we
می توانید,can
از,out
دیگر,other
بود,were
که,which
انجام,do
شان,their
زمان,time
اگر,if
خواهد شد,will
چگونه,how
گفت:,said
بگو,tell
میکند,does
مجموعه,set
سه,three
می خواهم,want
به خوبی,well
همچنین,also
بازی,play
پایان,end
قرار دادن,put
خانه,home
بهعنوان,read
دست,hand
بندر,port
بزرگ,large
طلسم,spell
اضافه,add
حتی,even
زمین,land
اینجا,here
باید,must
بزرگ,big
بالا,high
از جمله,such
به دنبال,follow
عمل,act
به همین دلیل,why
بپرسید,ask
مردها,men
تغییر,change
رفت,went
نور,light
نوع,kind
خاموش,off
نیاز,need
خانه,house
تصویر,picture
سعی کنید,try
ما,us
دوباره,again
حیوانات,animal
نقطه,point
مادر,mother
جهان,world
در نزدیکی,near
ساخت,build
خود,self
زمین,earth
پدر,father
جدید,new
کار,work
بخش,part
را,take
دریافت,get
محل,place
ساخته شده,made
زنده,live
که در آن,where
پس از,after
به عقب,back
کمی,little
تنها,only
دور,round
مرد,man
سال,year
آمد,came
نمایش,show
هر,every
خوب,good
به من,me
را,give
ما,our
در,under
نامونام,name
بسیار,very
از طریق,through
فقط,just
فرم,form
حکم,sentence
بزرگ,great
فکر کردن,think
می گویند,say
کمک,help
کم,low
خط,line
متفاوت,differ
به نوبه خود,turn
علت,cause
بسیار,much
متوسط,mean
قبل,before
حرکت,move
راست,right
پسر,boy
قدیمی,old
هم,too
همان,same
او,she
همه,all
وجود دارد,there
وقتی که,when
بالا,up
استفاده,use
خود را,your
راه,way
در مورد,about
بسیاری از,many
پس از آن,then
آنها را,them
نوشتن,write
را,would
مانند,like
تا,so
اینها,these
او,her
طولانی,long
را,make
چیزی که,thing
ببینید,see
او,him
دو,two
دارد,has
نگاه,look
تر,more
روز,day
می تواند,could
به,go
آمده,come
انجام,did
تعداد,number
صدا,sound
هیچ,no
بیشترین,most
مردم,people
من,my
روی,over
می دانم,know
اب,water
نسبت به,than
تماس,call
اولین,first
که,who
ممکن است,may
پایین,down
سمت,side
,
بوده,been
ساعت,now
پیدا کردن,find
سر,head
ایستادن,stand
خود,own
صفحه,page
باید,should
کشور,country
یافت,found
پاسخ,answer
مدرسه,school
رشد,grow
مطالعه,study
هنوز,still
یادگیری,learn
کارخانه,plant
پوشش,cover
مواد غذایی,food
آفتاب,sun
بین,between
دولت,state
نگه داشتن,keep
چشم,eye
هرگز,never
آخرین,last
اجازه,let
فکر,thought
شهرستان,city
درخت,tree
صلیب,cross
مزرعه,farm
سخت,hard
شروع,start
زور,might
داستان,story
اره,saw
بسیار,far
دریا,sea
قرعه کشی,draw
سمت چپ,left
اواخر,late
اجرا,run
نکن,don’t
در حالی که,while
مطبوعات,press
نزدیک,close
شب,night
واقعی,real
زندگی,life
کم,few
شمال,north
کتاب,book
حمل,carry
در زمان,took
علم,science
خوردن,eat
اتاق,room
دوستان,friend
آغاز شد,began
ایده,idea
ماهی,fish
کوه,mountain
توقف,stop
یک بار,once
پایه,base
گوش,hear
اسب,horse
برش,cut
مطمئن,sure
تماشای,watch
رنگ,color
صورت,face
چوب,wood
اصلی,main
باز,open
به نظر می رسد,seem
با هم,together
بعدی,next
سفید,white
کودکان,children
شروع,begin
رو,got
راه رفتن,walk
مثال,example
آسان,ease
مقاله,paper
همیشه,always
موسیقی,music
آن,those
هر دو,both
علامت,mark
غالبا,often
تا زمانی که,until
مایل,mile
رودخانه,river
,
اتومبیل,car
پا,feet
مراقبت,care
دوم,second
کافی,enough
ساده,plain
دختر,girl
معمول,usual
جوان,young
اماده,ready
بالا,above
همیشه,ever
قرمز,red
لیست,list
هر چند,though
احساس,feel
بحث,talk
پرنده,bird
بزودی,soon
بدن,body
سگ,dog
خانواده,family
مستقیم,direct
مطرح,pose
ترک,leave
آهنگ,song
اندازه گیری,measure
درب,door
محصول,product
سیاه و سفید,black
کوتاه,short
بر اساس اعداد,numeral
کلاس,class
باد,wind
سوال,question
اتفاق می افتد,happen
کامل,complete
کشتی,ship
منطقه,area
نیم,half
سنگ,rock
منظور,order
آتش,fire
جنوب,south
مشکل,problem
قطعه,piece
گفت,told
می دانستم که,knew
از سال,since
بالا,top
تمام,whole
پادشاه,king
خیابان,street
اینچ,inch
ضرب,multiply
هیچ,nothing
البته,course
اقامت,stay
چرخ,wheel
کامل,full
نیروی,force
آبی,blue
شی,object
تصمیم گی,decide
سطح,surface
عمیق,deep
ماه,moon
جزیره,island
پا,foot
سیستم,system
مشغول,busy
آزمون,test
رکورد,record
قایق,boat
مشترک,common
طلا,gold
ممکن,possible
هواپیما,plane
جا,stead
خشک,dry
جای تعجب,wonder
خنده,laugh
هزار,thousand
پیش,ago
